Rango m,1000 mbar,850 mbar,700 mbar,500 mbar,400 mbar,300 mbar,250 mbar,200 mbar,150 mbar,100 mbar,70 mbar,50 mbar,30 mbar,10 mbar
6100000,2,2,2,1,1,2,1,2,2,2,1,1,2,1
6200000,2,1,2,2,2,2,1,2,2,2,1,1,1,1
6300000,2,2,1,1,2,2,1,2,2,1,2,1,1,1
6400000,1,2,1,1,1,1,1,1,2,1,1,2,1,2
6500000,2,1,1,1,2,1,2,2,1,1,1,1,2,2
6600000,2,1,1,2,2,2,2,2,2,2,1,1,1,1
6700000,1,1,1,1,1,2,2,2,1,1,2,1,1,2
6800000,2,2,2,2,1,2,1,2,1,1,1,1,1,2
6900000,1,2,2,2,2,2,2,2,1,1,1,1,2,1
7000000,1,2,2,1,2,1,2,1,2,2,1,1,2,2
7100000,2,2,1,1,1,1,2,2,2,2,2,1,2,2
7200000,1,2,1,1,2,2,1,2,2,1,2,1,2,2
7300000,1,1,2,1,2,2,1,2,1,1,1,2,1,1
7400000,1,1,1,2,2,1,2,2,1,1,1,1,2,2
7500000,2,2,1,1,1,1,2,2,1,2,2,1,1,2
7600000,1,2,1,1,2,1,2,2,1,1,1,1,1,2
7700000,1,1,1,2,1,2,2,2,2,1,2,1,2,1
7800000,1,1,2,1,2,1,2,2,2,1,2,2,1,1
7900000,2,2,1,1,1,2,1,2,2,1,2,2,1,2
8000000,1,1,2,1,1,1,1,2,1,1,1,2,1,2
8100000,1,1,2,1,1,1,2,1,2,2,2,2,1,1
8200000,1,1,1,1,1,1,2,1,2,1,1,1,2,2
8300000,2,1,1,1,2,1,2,1,2,1,1,1,2,1
8400000,2,2,2,2,1,1,1,1,2,2,2,1,2,1
8500000,1,1,1,1,2,1,1,2,2,2,1,1,1,1
8600000,1,1,2,1,1,1,1,1,2,2,2,2,2,2
8700000,1,1,1,1,2,2,1,2,2,2,1,2,2,2
8800000,1,2,2,1,1,1,2,2,1,2,2,2,2,1
8900000,2,2,1,2,1,1,2,1,2,2,2,2,2,2
9000000,1,2,1,2,1,1,2,2,1,1,2,1,1,2
9100000,1,2,2,2,2,2,2,1,2,1,1,2,2,2
9200000,2,1,1,2,1,2,1,2,2,2,2,1,1,1
9300000,1,1,2,2,2,1,2,1,2,1,1,2,1,2
